Index;Education level;Degree;Tuition fees;ID;Branches of Science;Group of Professions;Year;Number of Applications;Number of Students
1;Higher Education;Bachelor's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Mathematics and Mechanics;2014;47923;7144
2;Higher Education;Bachelor's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Computer Science;2014;28787;3238
3;Higher Education;Bachelor's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Physics and Astronomy;2014;23906;4391
4;Higher Education;Bachelor's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Chemistry;2014;25930;2367
5;Higher Education;Bachelor's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Earth Science;2014;43434;6745
6;Higher Education;Bachelor's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Biological Sciences;2014;37685;4419
7;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Architecture;2014;27209;2655
8;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Construction Equipment and Technologies;2014;133495;17233
9;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Information Technology;2014;199319;20088
10;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Information Security;2014;25471;1907
11;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Electronics, and Radio Engineering and Communication Systems;2014;62136;9342
12;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Photonics, Instrument Engineering, Optical and Biotechnical Technologies;2014;27952;3676
13;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Electrical and Thermal Power Engineering;2014;111298;15290
14;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Nuclear Energy and Technology;2014;4386;724
15;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Mechanical Engineering;2014;110730;15785
16;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Physics and Technical Sciences and Technologies;2014;6672;936
17;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Weaponry and Military Technology;2014;725;101
18;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Chemical Technologies;2014;50609;6852
19;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Industrial Ecology and Biotechnology;2014;46764;6985
20;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Industrial Safety and Environmental Management;2014;55094;7066
21;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Geology, Mining, Oil and Gas Engineering and Geodesy;2014;68998;7286
22;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Material Technology;2014;18881;3554
23;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Transport Equipment and Technologies;2014;69468;11435
24;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Aviation, Rocket, and Space Technology;2014;9376;1006
25;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Air Navigation and Operation of Aviation, Rocket and Space Technology;2014;6610;1139
